REF_AREA,REF_AREA_LABEL,min_year,max_year,n_years
CZE,Czechia,1990,2024,35
CMR,Cameroon,1993,2024,32
USA,United States,1997,2024,28
GBR,United Kingdom,1997,2023,27
SEN,Senegal,1999,2023,25
DNK,Denmark,2005,2022,18
PER,Peru,2007,2024,18
NLD,Netherlands,2010,2024,15
MKD,North Macedonia,2010,2023,14
ESP,Spain,2010,2023,14
HUN,Hungary,2010,2023,14
SWE,Sweden,2010,2023,14
PRT,Portugal,2010,2023,14
SVN,Slovenia,2010,2023,14
LVA,Latvia,2010,2023,14
FIN,Finland,2010,2023,14
GRC,Greece,2010,2022,13
LTU,Lithuania,2010,2022,13
LUX,Luxembourg,2010,2022,13
SRB,Serbia,2010,2022,13
ROU,Romania,2010,2022,13
EST,Estonia,2010,2022,13
HRV,Croatia,2010,2022,13
CYP,Cyprus,2010,2022,13
CAN,Canada,2010,2022,13
IRL,Ireland,2010,2022,13
AUT,Austria,2010,2022,13
SVK,Slovak Republic,2010,2022,13
FRA,France,2010,2022,13
BEL,Belgium,2010,2022,13
POL,Poland,2010,2022,13
ITA,Italy,2010,2022,13
BRA,Brazil,2010,2021,12
ALB,Albania,2013,2024,12
AUS,Australia,2012,2023,12
IND,India,2011,2021,11
MAR,Morocco,2014,2023,10
COL,Colombia,2014,2023,10
MLT,Malta,2010,2020,10
CRI,Costa Rica,2012,2021,10
ZAF,South Africa,2013,2021,9
CPV,Cabo Verde,2015,2023,9
JPN,Japan,2015,2022,8
SGP,Singapore,2010,2022,7
GEO,Georgia,2018,2023,6
CHL,Chile,2018,2023,6
BGR,Bulgaria,2010,2014,5
RUS,Russia,2016,2018,3
MEX,Mexico,2008,2018,3
CHE,Switzerland,2011,2017,3
KAZ,Kazakhstan,2022,2024,3
ARG,Argentina,2021,2022,2
MDG,Madagascar,2007,2019,2
NZL,New Zealand,2012,2019,2
NOR,Norway,2022,2023,2
ISR,Israel,2014,2014,1
TUR,Türkiye,2023,2023,1
ZMB,Zambia,2010,2010,1
IDN,Indonesia,2010,2010,1
