REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable
MKD,North Macedonia,2023,V,Current prices,787046171000.0,100708031000.0,94050191000.0,6657840000.0,0.933889681548833,0.12795695438304852,0.11949767938074372,True
IND,India,2021,V,Current prices,216355861503000.0,14540404063000.0,13115380000000.0,1425024063000.0,0.901995566503811,0.0672059631848633,0.06061948083536503,True
SRB,Serbia,2022,V,Current prices,6328703000000.0,515564000000.0,460271000000.0,55293000000.0,0.892752403193396,0.08146440115770956,0.07272753990825609,True
ALB,Albania,2024,V,Current prices,2179701136000.0,127328986000.0,110177623000.0,17151364000.000002,0.8652988330559704,0.0584158001741758,0.05054712372274508,True
ISR,Israel,2014,V,Current prices,972315259000.0,148910545000.0,127055055000.0,21855490000.0,0.8532307433298293,0.1531504762695491,0.1306726947087848,True
PER,Peru,2024,V,Current prices,1014779000000.0,41512000000.0,33762000000.0,7750000000.0,0.8133069955675467,0.04090742910525346,0.03327029826198611,True
ARG,Argentina,2022,V,Current prices,69715763921000.0,2578114452000.0,2092591171000.0,485523281000.0,0.8116750477763506,0.03698036580250987,0.030016040179539124,True
SVK,Slovak Republic,2022,V,Current prices,97975263000.0,11239390000.0,9065239000.0,2174151000.0,0.806559697634836,0.11471660964053754,0.09252579398536546,True
BGR,Bulgaria,2014,V,Current prices,37184553000.0,3895468000.0,3140217000.0,755251000.0,0.8061205996301343,0.10476038262447313,0.08444950245872258,True
ROU,Romania,2022,V,Current prices,1271213100000.0,103823200000.0,81122200000.0,22701000000.0,0.7813494479075968,0.0816725378302033,0.06381479234284165,True
SVN,Slovenia,2023,V,Current prices,56995055000.0,4098770999.9999995,3184794000.0,913977000.0,0.777011938456674,0.0719145020563626,0.05587842664596078,True
CHL,Chile,2023,V,Current prices,253479164131000.0,22372633266000.0,16860860083000.0,5511773183000.0,0.7536377091839109,0.08826221809078418,0.06651773584942933,True
GBR,United Kingdom,2023,V,Current prices,2497390000000.0,346849000000.0,254256000000.0,92593000000.0,0.7330452156413886,0.1388845955177205,0.10180868827055446,True
HUN,Hungary,2023,V,Current prices,65157153000000.0,7452859000000.0,5452148000000.0,2000711000000.0,0.7315512073957122,0.11438282148392825,0.08367689116189592,True
CZE,Czechia,2024,V,Current prices,7355682000000.0,902575000000.0,631328000000.0,271247000000.0,0.6994742819156303,0.1227044616665049,0.0858286152120225,True
