country,year,method,forecast,lo,hi
CZE,2025,holt,0.7018778275400867,0.6872035076569367,0.7165521474232366
CZE,2026,holt,0.704269355179666,0.6835167329823142,0.7250219773770179
CZE,2027,holt,0.7066489251810475,0.6812322575769136,0.7320655927851814
CZE,2028,holt,0.7090165973324221,0.6796679575661222,0.7383652370987219
CZE,2029,holt,0.7113724311230398,0.6785596543407398,0.7441852079053398
CZE,2030,holt,0.7137164857447044,0.6777718897086094,0.7496610817807994
USA,2025,naive,0.5722075710145426,0.566155440927,0.5782597011020851
USA,2026,naive,0.5722075710145426,0.5636485665634936,0.5807665754655915
USA,2027,naive,0.5722075710145426,0.5617249742089027,0.5826901678201825
USA,2028,naive,0.5722075710145426,0.5601033108394575,0.5843118311896276
USA,2029,naive,0.5722075710145426,0.5586745967301256,0.5857405452989595
USA,2030,naive,0.5722075710145426,0.5573829404431176,0.5870322015859675
GBR,2024,naive,0.7330452156413886,0.7226283446633659,0.7434620866194113
GBR,2025,naive,0.7330452156413886,0.7183135354267782,0.7477768958559989
GBR,2026,naive,0.7330452156413886,0.7150026658515637,0.7510877654312135
GBR,2027,naive,0.7330452156413886,0.7122114736853433,0.7538789575974338
GBR,2028,naive,0.7330452156413886,0.7097523840216852,0.756338047261092
GBR,2029,naive,0.7330452156413886,0.7075291970288263,0.7585612342539508
