REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable
CZE,Czechia,1990,V,Current prices,624324000000.0,40862000000.0,24868000000.0,15994000000.0,0.6085849933923939,0.06544999070995189,0.03983188216374831,True
CZE,Czechia,1991,V,Current prices,792301000000.0,50796000000.0,29778000000.0,21018000000.0,0.586227261989133,0.06411199783920504,0.037584200953930384,True
CZE,Czechia,1992,V,Current prices,881826000000.0,57284000000.0,33434000000.0,23850000000.0,0.5836533761608826,0.0649606611735195,0.03791450921156782,True
CZE,Czechia,1993,V,Current prices,1077161000000.0,63031000000.0,38620000000.0,24411000000.0,0.6127143786390824,0.05851585788939629,0.035853507507234296,True
CZE,Czechia,1994,V,Current prices,1236871000000.0,70395000000.0,43752000000.0,26643000000.0,0.6215214148732154,0.056913776780278626,0.03537313107025712,True
CZE,Czechia,1995,V,Current prices,1461630000000.0,90924000000.0,57887000000.0,33037000000.0,0.636652588975408,0.06220726175571109,0.03960441424984435,True
CZE,Czechia,1996,V,Current prices,1671370000000.0,102226000000.0,65555000000.0,36671000000.0,0.6412752137421008,0.06116299801958872,0.039222314628119447,True
CZE,Czechia,1997,V,Current prices,1807139000000.0,119700000000.0,77041000000.0,42659000000.0,0.6436173767752715,0.06623729552624341,0.04263147439128921,True
CZE,Czechia,1998,V,Current prices,1979764000000.0,141454000000.0,89713000000.0,51741000000.0,0.6342203119035164,0.07144993039574414,0.04531499714107338,True
CZE,Czechia,1999,V,Current prices,2060367000000.0,161245000000.0,98828000000.0,62417000000.0,0.612905826537257,0.07826032934909169,0.047966211844782995,True
CZE,Czechia,2000,V,Current prices,2187207000000.0,175573000000.0,105302000000.0,70271000000.0,0.599761922391256,0.08027269481123643,0.04814450575551377,True
CZE,Czechia,2001,V,Current prices,2366279000000.0,185399000000.0,113592000000.0,71807000000.0,0.612689388831655,0.07835043965652402,0.048004482987847166,True
CZE,Czechia,2002,V,Current prices,2474186000000.0,196349000000.0,123335000000.0,73014000000.0,0.6281417272305945,0.07935902959599642,0.04984871792177306,True
CZE,Czechia,2003,V,Current prices,2590891000000.0,204701000000.0,132285000000.0,72416000000.0,0.6462352406680963,0.0790079551783537,0.051057724929377574,True
CZE,Czechia,2004,V,Current prices,2796513000000.0,219719000000.0,141211000000.0,78508000000.0,0.6426890710407384,0.07856891779154969,0.050495384788127214,True
