REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable,HPI,HPI_RPI,HPI_RPI_AVG,HPI_YDH,HPI_YDH_AVG,RHP,RPI,imputed_rent_yoy,real_estate_excl_imputed_yoy,HPI_yoy,RPI_yoy
AUS,Australia,2012,V,Current prices,1423473000000.0,160978000000.0,128870000000.0,32108000000.0,0.8005441737380263,0.1130882004786884,0.09053210001173187,True,78.88025,84.9053434092326,111.25986184545,85.2205159531995,105.144306115034,83.0611322844323,92.9125016140626,,,,
AUS,Australia,2013,V,Current prices,1479312000000.0,173128000000.0,136809000000.0,36319000000.0,0.7902187976526038,0.11703278280714279,0.09248150491579869,True,84.1065,87.6314627994872,114.832165478591,88.3898364777304,109.054585273528,86.5919453296031,95.9662819957851,6.1604717932800535,13.115111498691912,6.6255494879897014,3.286727112791765
AUS,Australia,2014,V,Current prices,1507569000000.0,183233000000.0,144663000000.0,38570000000.0,0.7895029825413544,0.12154203223865707,0.0959577969565572,True,91.72025,93.2282639710747,122.166207131611,93.052227693922,114.807001622809,92.8803612584584,98.3819622977452,5.740850382650264,6.197857870536083,9.052510804753489,2.5172177682847074
AUS,Australia,2015,V,Current prices,1542772000000.0,187264000000.0,143602000000.0,43662000000.0,0.7668425324675324,0.12138151327610301,0.09308050703538825,True,100.0,100.0,131.039882035683,100.0,123.379100606215,100.0,100.0,-0.7334287274562312,13.201970443349765,9.027177749733584,1.6446487389201847
AUS,Australia,2016,V,Current prices,1644561000000.0,194122000000.0,148204000000.0,45918000000.0,0.7634580315471714,0.11803879576373269,0.09011766665997795,True,105.5,104.714439498908,137.217677993696,105.135169282325,129.714826281354,104.85357651277,100.752062594008,3.204690742468763,5.1669644084100685,5.499999999999994,0.7520625940079961
AUS,Australia,2017,V,Current prices,1725711000000.0,199698000000.0,152707000000.0,46991000000.0,0.7646896814189426,0.11571926006150508,0.08848932411046809,True,114.30825,112.746807519495,147.743283572544,112.448696366851,138.738190220834,112.23658345673,101.39016267377,3.038379530916835,2.3367742497495625,8.349052132701429,0.6333369891724283
AUS,Australia,2018,V,Current prices,1826425000000.0,206953000000.0,159154000000.0,47799000000.0,0.7690345150831348,0.113310428843232,0.08713963069931698,True,112.66375,110.409219652249,144.680111188824,107.624053909329,132.785589749278,108.803108701494,102.05103775638,4.221810395070302,1.719478197952795,-1.4386538154507744,0.6518138103164928
AUS,Australia,2019,V,Current prices,1857042000000.0,220291000000.0,173478000000.0,46813000000.0,0.7874947228892691,0.11862467300147224,0.09341630399312455,True,108.08375,105.540470631653,138.300108215622,100.728895893051,124.278405803418,102.542087493784,102.415712801964,9.000087965115554,-2.06280466118538,-4.06519399540668,0.3573457493441401
AUS,Australia,2020,V,Current prices,1944802000000.0,224071000000.0,174740000000.0,49331000000.0,0.7798421036189422,0.11521532783285908,0.08984976362632288,True,113.9165,112.289982838136,147.144661048982,100.402162718949,123.875285351829,106.792680653415,101.458537682317,0.7274697656187046,5.3788477559652215,5.396509651080761,-0.93459791809275
AUS,Australia,2021,V,Current prices,2180676000000.0,247439000000.0,152993000000.0,94446000000.0,0.6183059259049705,0.1134689426581482,0.07015851965170433,True,133.76375,132.076165792074,173.072451851187,112.291795284242,138.54460707627,122.747949845308,101.27623765953,-12.445347373240246,91.45364983478947,17.42262973318176,-0.17967933202213127
