country,early_mean,late_mean
ALB,0.9281257164381446,0.9026795422351125
AUS,0.7867771215998792,0.6619352619616337
AUT,0.5497682765627953,0.5312061401400128
BEL,0.5730311532750563,0.5679968762846407
CAN,0.6629913083806647,0.662552553548194
CYP,0.5734458209782667,0.6179131940862632
CZE,0.6164667877617742,0.6814998400092467
DNK,0.439953770204929,0.4441319290073565
ESP,0.7234554421774213,0.6551759695712307
EST,0.5645783846552235,0.5327117614969206
FIN,0.6352899323343595,0.6501228885681887
FRA,0.61634590720848,0.6158674954440928
GBR,0.796642319328861,0.6968375530922524
GRC,0.5646823765315063,0.6224260544575246
HRV,0.7882016239555434,0.7201399116123812
HUN,0.6762202601968338,0.7188391101197572
IND,0.9025312841061219,0.899876062583341
ITA,0.6629108352856843,0.6938540342870885
LTU,0.5778804265358441,0.5479431159741645
LUX,0.5020955685772875,0.414079746399994
LVA,0.6196155405026655,0.5511591257770689
MKD,0.9332522226209599,0.92588897860126
MLT,0.7003118256575381,0.43357762112397064
NLD,0.18075140861291747,0.5305319155985532
PER,0.8112840585136629,0.816457984704746
POL,0.5658134082794404,0.41610131110056064
PRT,0.6604126440158413,0.5652715392168682
ROU,0.8363615257159254,0.782511504578316
SRB,0.7981950640181333,0.9054068196224421
SVN,0.8248067763573008,0.7962141411694938
SWE,0.4091291733976229,0.2730511306308349
USA,0.6057320005363365,0.5695824806723238
