REF_AREA,REF_AREA_LABEL,TIME_PERIOD,PRICE_BASE,PRICE_BASE_LABEL,gdp_basic_prices,real_estate_total,imputed_rent,real_estate_excl_imputed,imputed_share_of_re,re_share_of_gdp,imputed_share_of_gdp,reliable
ALB,Albania,2013,V,Current prices,1177271581000.0,74752011000.0,69524450000.0,5227561000.0,0.9300679549611046,0.06349597850353614,0.05905557487503812,True
ALB,Albania,2014,V,Current prices,1202275647000.0,71172849000.0,65833115999.99999,5339733000.0,0.9249751404499769,0.05919844519648663,0.054757090160040475,True
ALB,Albania,2015,V,Current prices,1244067452000.0,73101252000.0,67598223000.0,5503029000.0,0.9247204548562314,0.05875987823849924,0.0543364613320018,True
ALB,Albania,2016,V,Current prices,1287120211000.0,76781868000.0,71617467000.0,5164401000.0,0.9327393154852653,0.059653999171022265,0.05564163035273789,True
ALB,Albania,2017,V,Current prices,1351585569000.0,83863209000.0,78686900000.0,5176309000.0,0.9382767597171245,0.06204802043132794,0.05821821555716832,True
ALB,Albania,2018,V,Current prices,1429404462000.0,88650434000.0,83341757000.0,5308678000.0,0.9401167398684139,0.06201913898880777,0.05830523075560401,True
ALB,Albania,2019,V,Current prices,1482270589000.0,93144231000.0,86920900000.0,6223332000.0,0.9331860821310555,0.06283888494531817,0.05864037284760563,True
ALB,Albania,2020,V,Current prices,1457202722000.0,95962073000.0,90237073000.0,5725000000.0,0.9403410136836039,0.06585361909583366,0.06192485893531017,True
ALB,Albania,2021,V,Current prices,1595467734000.0,103485393000.0,95463419000.0,8021974000.0,0.9224820646910042,0.06486210331596716,0.059834126987114614,True
ALB,Albania,2022,V,Current prices,1856230421000.0,109819000000.0,100219000000.0,9600000000.0,0.9125834327393256,0.05916237486337371,0.053990603141828374,True
ALB,Albania,2023,V,Current prices,2059912219000.0,122392435000.0,111420423000.0,10972012000.0,0.9103538384541495,0.059416335255012144,0.05408988886627892,True
ALB,Albania,2024,V,Current prices,2179701136000.0,127328986000.0,110177623000.0,17151364000.000002,0.8652988330559704,0.0584158001741758,0.05054712372274508,True
ARG,Argentina,2021,V,Current prices,38650606381000.0,1563896115000.0,1276230003000.0,287666112000.0,0.8160580429602257,0.04046239532657851,0.03301966314369064,True
ARG,Argentina,2022,V,Current prices,69715763921000.0,2578114452000.0,2092591171000.0,485523281000.0,0.8116750477763506,0.03698036580250987,0.030016040179539124,True
AUS,Australia,2012,V,Current prices,1423473000000.0,160978000000.0,128870000000.0,32108000000.0,0.8005441737380263,0.1130882004786884,0.09053210001173187,True
AUS,Australia,2013,V,Current prices,1479312000000.0,173128000000.0,136809000000.0,36319000000.0,0.7902187976526038,0.11703278280714279,0.09248150491579869,True
