country,label,n_years,slope_pp_per_year,r_squared,p_value
NLD,Netherlands,15,3.454128293059941,0.9294727944758372,7.322363807263633e-09
SRB,Serbia,13,1.2085095242089485,0.6244114088820973,0.0013066383354385584
GRC,Greece,13,0.7290916188773297,0.3871384265626799,0.023157210896801866
CYP,Cyprus,13,0.5025473386581719,0.6901612322451509,0.0004356421326492071
HUN,Hungary,14,0.4753909236805963,0.7181287655558661,0.00013001636268598964
ITA,Italy,13,0.3453823303644695,0.8221938217241271,1.912585987740046e-05
CZE,Czechia,35,0.29188830214801315,0.7173822859722522,1.417562565790947e-10
FIN,Finland,14,0.13694162758946088,0.36321085425566635,0.02254206188173912
DNK,Denmark,18,0.027221129762931714,0.005856808562560302,0.7627882717007786
PER,Peru,18,0.013527985398484932,0.0014088886167785654,0.8824478704698622
CAN,Canada,13,-0.005618828762443989,0.002975167775486507,0.8595250602614932
FRA,France,13,-0.009493742014695574,0.012564943277881734,0.7154192047950193
IND,India,11,-0.03753813073176328,0.011056982169300211,0.758315685780008
BEL,Belgium,13,-0.06295694302006304,0.04448106651774572,0.4891560195358323
MKD,North Macedonia,14,-0.06914258109303119,0.06841824459940289,0.36635348505724064
USA,United States,28,-0.19520822515577677,0.6088262446550429,9.75782441405719e-07
AUT,Austria,13,-0.247825244401671,0.4423693772173051,0.013114437792542653
SVN,Slovenia,14,-0.3389671004064551,0.5507816304380169,0.0023706365192016107
LTU,Lithuania,13,-0.3401047623691895,0.26064945723091015,0.074628003144214
ALB,Albania,12,-0.3430193578833876,0.3594804343943813,0.03934199899093218
EST,Estonia,13,-0.4051000579978482,0.1098013745158638,0.26873341074342405
ZAF,South Africa,9,-0.46637990335677965,0.5288061217577724,0.02641643865945526
GBR,United Kingdom,27,-0.5393403056296165,0.7438477515800437,7.306816479734923e-09
ROU,Romania,13,-0.6224885623030705,0.6015087824612809,0.0018363204179025568
LVA,Latvia,14,-0.6501970334363808,0.324463794657272,0.033471997488590366
ESP,Spain,14,-0.7179916866291,0.8971742895334276,2.792470682073264e-07
HRV,Croatia,13,-0.7768095740104594,0.7667307449564487,8.76150888836559e-05
LUX,Luxembourg,13,-0.9061486497609631,0.6809325096096762,0.0005147380829987592
PRT,Portugal,14,-0.9822827623658134,0.7891056220686032,2.193604240344522e-05
SWE,Sweden,14,-1.312033627936028,0.8350201362449833,4.910152055362935e-06
POL,Poland,13,-1.547329183438095,0.8681400631166077,3.612085369241432e-06
AUS,Australia,12,-1.5655121510002459,0.6196513659902756,0.0023753377942201674
MLT,Malta,10,-3.5097691935066564,0.9536347941756744,1.287788326865378e-06
