country,year,vol_imputed,vol_excl
CZE,1990,100.0,100.0
CZE,1991,95.94257680553322,115.79967487807927
CZE,1992,96.4613072396017,78.00417722541852
CZE,1993,100.88709073261924,59.224303614166814
CZE,1994,104.68276506805415,50.87598405592062
CZE,1995,127.36020260953836,58.78340626721691
CZE,1996,125.09404598218119,56.31193030677364
CZE,1997,126.52140234545892,50.74385037188336
CZE,1998,126.92704072475472,51.46470114957064
CZE,1999,128.64179302774764,56.58222665960216
CZE,2000,130.7648225783634,64.36016383600261
CZE,2001,134.12018667977398,62.16387129884313
CZE,2002,136.9987786151681,59.32175298901119
CZE,2003,139.74908449631423,53.81563744943619
CZE,2004,142.44930492926264,58.556163732163114
CZE,2005,147.2207831591131,64.72369975271206
CZE,2006,149.68595335395744,66.55011935857537
CZE,2007,153.48811432322213,68.14263461095264
CZE,2008,156.70201631530168,70.38846608073747
CZE,2009,150.3119273897408,73.13034772872224
CZE,2010,163.63331891878792,70.50653051239867
CZE,2011,174.70589788277277,69.72954416315211
CZE,2012,173.55562427197245,74.83521087118265
CZE,2013,176.7654687207119,76.72224348321556
CZE,2014,178.37557700956688,84.47150729634602
CZE,2015,174.6101845678428,87.0479518886318
CZE,2016,173.05111877771785,94.18909966461601
CZE,2017,171.48853539525882,83.27617992345928
CZE,2018,175.26041236589006,80.84516113014462
CZE,2019,180.0935324663946,78.38054199244637
CZE,2020,179.2879049442938,74.59875518743159
CZE,2021,181.52427130737675,73.18244957775086
CZE,2022,192.45663809333615,69.31989615277328
CZE,2023,194.05940819941418,67.45991957901465
CZE,2024,,
USA,1997,100.0,100.0
USA,1998,,
USA,1999,,
USA,2000,,
USA,2001,,
USA,2002,,
USA,2003,,
USA,2004,,
USA,2005,,
USA,2006,,
USA,2007,,
USA,2008,,
USA,2009,,
USA,2010,,
USA,2011,,
USA,2012,,
USA,2013,,
USA,2014,,
USA,2015,,
USA,2016,,
USA,2017,,
USA,2018,,
USA,2019,,
USA,2020,,
USA,2021,,
USA,2022,,
USA,2023,,
USA,2024,,
GBR,1997,100.0,100.0
GBR,1998,101.61094889061042,93.13091664742554
GBR,1999,105.46403326178174,90.62756774809019
GBR,2000,106.25469284422316,87.32177601014398
GBR,2001,107.70248918515576,86.76785734351019
GBR,2002,107.17083398749736,91.84032605627635
GBR,2003,110.06687358379874,99.10662178045784
GBR,2004,111.35261406985641,96.49298257666455
GBR,2005,111.35082168807969,103.45658064271213
GBR,2006,114.82829422631013,103.27252539080625
GBR,2007,112.48767466019923,106.63316452512309
GBR,2008,111.54878218920057,115.39890505740951
GBR,2009,111.83363178601148,125.80703288476876
GBR,2010,113.38553487054415,137.72820208109042
GBR,2011,111.81715468809543,155.59304488392658
GBR,2012,116.65987283508328,175.14142630687277
GBR,2013,119.60665163968675,183.68330091558116
GBR,2014,122.26957693006142,191.08241819947523
GBR,2015,126.32874303513924,194.8684528746521
GBR,2016,130.06294774027032,193.33246534210676
GBR,2017,129.96382569876232,194.7656591852014
GBR,2018,133.8789904919109,195.86485408669367
GBR,2019,135.7860753541963,201.48936429315458
GBR,2020,136.48127275663262,201.72955724955824
GBR,2021,138.6138162502507,213.25746668603014
GBR,2022,139.2380094658946,224.44625348390903
GBR,2023,139.97364830712695,220.16998477084263
