DATAFLOW,REF_AREA: Reference area,FREQ: Frequency of observation,MEASURE: Measure,UNIT_MEASURE: Unit of measure,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,ADJUSTMENT: Adjustment,DECIMALS: Decimals,BASE_PER: Base period
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2008,100.765750001351,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2009,96.9325000000001,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2010,95.2147500000001,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2011,95.21475,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2012,93.8650000000001,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2013,93.8037500000001,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2014,96.0737500000001,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2016,107.17775,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2017,119.7545,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2019,141.8405,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2020,153.8035,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2021,184.17175,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2022,215.27625,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2023,211.71775,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2024,222.2085,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),CZE: Czechia,A: Annual,HPI: Nominal house price indices,IX: Index,2025,245.337499999684,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1970,6.86934393884963,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1971,7.74891229803518,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1972,9.07960560839399,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1973,10.4839622989359,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1974,10.9948534807744,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1975,12.9600023523111,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1976,14.2003986170538,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1977,16.0966365849937,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1978,18.6724786366815,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1979,20.5211918435201,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1980,20.2146571344171,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1981,19.261785674337,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1982,18.8245578722055,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1983,22.8689150419219,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1984,26.3928760775797,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1985,30.886342239703,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1986,34.498224083398,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1987,31.9437681742058,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1988,32.3073325966303,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1989,32.0744612672342,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1990,29.6625796413458,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1991,30.0475302062659,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1992,29.5604014049781,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1993,29.2752528383705,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1994,32.863372301515,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1995,35.3584222593307,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1996,39.1366407668801,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1997,43.651493071499,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1998,47.5722858623522,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,1999,50.7802072366866,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2000,54.0831781332236,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2001,57.2435747464567,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2002,59.3109018543612,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2003,62.2709056772642,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2004,69.113172782932,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2005,82.9512073780184,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2006,102.905257263143,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2007,105.65776414441,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2008,100.191250478126,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2009,88.1882204705512,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2010,90.6732266830667,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2011,89.1057227643069,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2012,86.7357168392921,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2013,90.1757254393136,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2014,93.5399838499596,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2016,104.625511563779,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2017,109.786274465686,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2018,114.641036602591,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2019,117.202043005107,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2020,122.209805524514,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2021,136.315340788352,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),DNK: Denmark,A: Annual,HPI: Nominal house price indices,IX: Index,2022,142.813607034018,A: Normal value,0: Units,"S: Seasonally adjusted, not calendar adjusted",1: One,2015
