DATAFLOW,FREQ: Frequency of observation,REF_AREA: Reference area,TRANSACTION: Transaction,ACTIVITY: Economic activity,PRODUCT: Product,UNIT_MEASURE: Unit of measure,VALUATION: Valuation,PRICE_BASE: Price base,TABLE_IDENTIFIER: Table identifier,TIME_PERIOD: Time period,OBS_VALUE,COUNTERPART_AREA: Counterpart area,SECTOR: Institutional sector,ACCOUNTING_ENTRY: Accounting entry,CONF_STATUS: Confidentiality status,DECIMALS: Decimals,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,CURRENCY: Currency
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2010,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2011,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2012,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2013,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2014,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2015,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2015,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,Y: Previous year prices,T1600: Table 1600 - Use Table at purchasers' prices,2016,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2016,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
OECD.SDD.NAD:DSD_NASU@DF_USEVA_T1600(2.0),A: Annual,SVK: Slovak Republic,"B1G: Value added, gross",L68A: Imputed rents of owner-occupied dwellings,_T: Total,XDC: National currency,B: Basic prices,V: Current prices,T1600: Table 1600 - Use Table at purchasers' prices,2017,0,D: Domestic (home or reference area),S1: Total economy,B: Balance (revenue minus expenditure),F: Free (free for publication),2: Two,A: Normal value,6: Millions,EUR: Euro
